 Count 	 AL 	 LL 	 TS 	 HS 
1	13036	11141	51005	19318	
2	13168	3796	9186	28816	
4	3350	2712	4915	3473	
8	4064	2931	4618	3716	
16	19623	3930	5035	4168	
32	4287	4491	6739	5239	
64	5469	5009	4028	6003	
128	4963	5898	4632	4985	
256	5281	7898	18900	4713	
512	5932	11253	5310	5466	
1024	5392	17642	10993	5158	
