 Count 	 AL 	 LL 	 TS 	 HS 
1	18044	27183	25611	28088	
2	3369	2384	3450	2292	
4	2205	1897	2331	1415	
8	2499	2028	3002	26612	
16	3724	3115	3476	1570	
32	2055	1891	3707	2194	
64	5957	5188	2270	1777	
128	12422	9233	2732	2592	
256	36563	45061	3576	22566	
512	87023	37603	3381	1788	
1024	3180	2860	2458	1959	
